district,id,city,index,id
Aveiro,av,Águeda,1,av-1
Aveiro,av,Albergaria-a-Velha,2,av-2
Aveiro,av,Anadia,3,av-3
Aveiro,av,Aveiro,4,av-4
Aveiro,av,Esmoriz,5,av-5
Aveiro,av,Espinho,6,av-6
Aveiro,av,Estarreja,7,av-7
Aveiro,av,Fiães,8,av-8
Aveiro,av,Gafanha da Nazaré,9,av-9
Aveiro,av,Ílhavo,10,av-10
Aveiro,av,Lourosa,11,av-11
Aveiro,av,Mealhada,12,av-12
Aveiro,av,Oliveira de Azeméis,13,av-13
Aveiro,av,Oliveira do Bairro,14,av-14
Aveiro,av,Ovar,15,av-15
Aveiro,av,Santa Maria da Feira,16,av-16
Aveiro,av,São João da Madeira,17,av-17
Aveiro,av,Vale de Cambra,18,av-18
Beira Interior Norte,bi,Guarda,19,bi-19
Beira Interior Norte,bi,Mêda,20,bi-20
Beira Interior Norte,bi,Pinhel,21,bi-21
Beira Interior Norte,bi,Sabugal,22,bi-22
Beira Interior Norte,bi,Trancoso,23,bi-23
Beja,bj,Beja,24,bj-24
Beja,bj,Moura,25,bj-25
Beja,bj,Serpa,26,bj-26
Braga,bg,Barcelos,27,bg-27
Braga,bg,Braga,28,bg-28
Braga,bg,Esposende,29,bg-29
Braga,bg,Fafe,30,bg-30
Braga,bg,Guimarães,31,bg-31
Braga,bg,Vila Nova de Famalicão,32,bg-32
Braga,bg,Vizela,33,bg-33
Bragança,bn,Bragança,34,bn-34
Bragança,bn,Macedo de Cavaleiros,35,bn-35
Bragança,bn,Miranda do Douro / Miranda de l Douro,36,bn-36
Bragança,bn,Mirandela,37,bn-37
Castelo Branco,cb,Castelo Branco,38,cb-38
Castelo Branco,cb,Covilhã,39,cb-39
Castelo Branco,cb,Fundão,40,cb-40
Coimbra,cm,Cantanhede,41,cm-41
Coimbra,cm,Coimbra,42,cm-42
Coimbra,cm,Figueira da Foz,43,cm-43
Coimbra,cm,Oliveira do Hospital,44,cm-44
Douro,do,Vila Nova de Foz Côa,45,do-45
Évora,ev,Borba,46,ev-46
Évora,ev,Estremoz,47,ev-47
Évora,ev,Évora,48,ev-48
Évora,ev,Montemor-o-Novo,49,ev-49
Évora,ev,Reguengos de Monsaraz,50,ev-50
Évora,ev,Vendas Novas,51,ev-51
Faro,fr,Albufeira,52,fr-52
Faro,fr,Faro,53,fr-53
Faro,fr,Lagoa,54,fr-54
Faro,fr,Lagos,55,fr-55
Faro,fr,Loulé,56,fr-56
Faro,fr,Olhão da Restauração,57,fr-57
Faro,fr,Portimão,58,fr-58
Faro,fr,Quarteira,59,fr-59
Faro,fr,Silves,60,fr-60
Faro,fr,Tavira,61,fr-61
Faro,fr,Vila Real de Santo António,62,fr-62
Grande Porto,pt,Alfena,63,pt-63
Grande Porto,pt,Ermesinde,64,pt-64
Grande Porto,pt,Gondomar,65,pt-65
